split,model_id,text_variant,rows,bleu1,keyword_metrics_note,type_keyword_accuracy,type_keyword_successes,type_keyword_total,type_keyword_ci_low,type_keyword_ci_high,type_keyword_relaxed_accuracy,type_keyword_relaxed_successes,type_keyword_relaxed_total,type_keyword_relaxed_ci_low,type_keyword_relaxed_ci_high,color_keyword_accuracy,color_keyword_successes,color_keyword_total,color_keyword_ci_low,color_keyword_ci_high,protocol_compliance_rate,protocol_compliance_successes,protocol_compliance_total,protocol_compliance_ci_low,protocol_compliance_ci_high,forbidden_mentions_rate,forbidden_mentions_successes,forbidden_mentions_ci_low,forbidden_mentions_ci_high,prompt_echo_rate,prompt_echo_successes,prompt_echo_ci_low,prompt_echo_ci_high
sanity,vit-gpt2,raw,20,0.041124847374847374,,0.1,2.0,20.0,0.02786648121376822,0.3010336452284872,0.25,5.0,20.0,0.11186170140766571,0.46870087761874396,0.3,6.0,20.0,0.14547724486760433,0.5189728183535233,1.0,20,20,0.8388748419471806,1.0,0.85,17,0.6395811352592431,0.9476312541037835,0.0,0,-1.1641727053856863e-17,0.16112515805281927
sanity,vit-gpt2,cleaned,20,0.260103425566284,omitted_by_construction,,,,,,,,,,,,,,,,1.0,20,20,0.8388748419471806,1.0,0.0,0,-1.1641727053856863e-17,0.16112515805281927,0.0,0,-1.1641727053856863e-17,0.16112515805281927
sanity,blip,raw,20,0.11338051546335826,,0.35,7.0,20.0,0.18119182410108212,0.5671457233147637,0.95,19.0,20.0,0.763868806553258,0.9911185511992047,0.5,10.0,20.0,0.2992980081982124,0.7007019918017876,0.75,15,20,0.531299122381256,0.8881382985923343,0.75,15,0.531299122381256,0.8881382985923343,0.0,0,-1.1641727053856863e-17,0.16112515805281927
sanity,blip,cleaned,20,0.26077225865729503,omitted_by_construction,,,,,,,,,,,,,,,,1.0,20,20,0.8388748419471806,1.0,0.0,0,-1.1641727053856863e-17,0.16112515805281927,0.0,0,-1.1641727053856863e-17,0.16112515805281927
